PID,Trial,Condition,Measure,Response
80,2,Mismatched Hand,Agency,1.0
80,3,Matched Hand,Agency,2.0
80,4,Alien Hand,Agency,2.0
80,5,Mismatched Hand,Agency,2.0
80,6,Matched Hand,Agency,3.0
80,7,Alien Hand,Agency,3.0
80,8,Mismatched Hand,Agency,3.0
80,9,Matched Hand,Agency,3.0
81,1,Mismatched Hand,Agency,1.0
81,2,Matched Hand,Agency,2.0
81,3,Alien Hand,Agency,0.0
81,4,Mismatched Hand,Agency,2.0
81,5,Matched Hand,Agency,1.0
81,6,Alien Hand,Agency,2.0
81,7,Mismatched Hand,Agency,1.0
81,8,Matched Hand,Agency,2.0
81,9,Alien Hand,Agency,1.0
82,1,Matched Hand,Agency,3.0
82,2,Alien Hand,Agency,3.0
82,3,Mismatched Hand,Agency,3.0
82,4,Matched Hand,Agency,3.0
82,5,Alien Hand,Agency,3.0
82,6,Mismatched Hand,Agency,3.0
82,7,Matched Hand,Agency,3.0
82,8,Alien Hand,Agency,3.0
82,9,Mismatched Hand,Agency,3.0
83,1,Mismatched Hand,Agency,2.0
83,2,Alien Hand,Agency,2.0
83,3,Matched Hand,Agency,2.0
83,4,Mismatched Hand,Agency,1.0
83,5,Alien Hand,Agency,2.0
83,6,Matched Hand,Agency,2.0
83,7,Mismatched Hand,Agency,1.0
83,8,Alien Hand,Agency,1.0
83,9,Matched Hand,Agency,2.0
84,1,Mismatched Hand,Agency,1.0
84,2,Matched Hand,Agency,1.0
84,3,Alien Hand,Agency,2.0
84,4,Mismatched Hand,Agency,2.0
84,5,Matched Hand,Agency,-1.0
84,6,Alien Hand,Agency,0.0
84,7,Mismatched Hand,Agency,1.0
84,8,Matched Hand,Agency,2.0
84,9,Alien Hand,Agency,-1.0
85,1,Mismatched Hand,Agency,3.0
85,2,Matched Hand,Agency,3.0
85,3,Alien Hand,Agency,3.0
85,4,Mismatched Hand,Agency,3.0
85,5,Matched Hand,Agency,3.0
85,6,Alien Hand,Agency,2.0
85,7,Mismatched Hand,Agency,3.0
85,8,Matched Hand,Agency,3.0
85,9,Alien Hand,Agency,3.0
86,1,Mismatched Hand,Agency,1.0
86,2,Matched Hand,Agency,1.0
86,3,Alien Hand,Agency,1.0
86,4,Mismatched Hand,Agency,-3.0
86,5,Matched Hand,Agency,1.0
86,6,Alien Hand,Agency,-3.0
86,7,Mismatched Hand,Agency,1.0
86,8,Matched Hand,Agency,1.0
86,9,Alien Hand,Agency,-3.0
